"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AKPL","2019-01-17","187","193","185","192","2.67 %","458.00"
"AKPL","2019-01-20","192","192","189","190","-1.04 %","282.00"
"AKPL","2019-01-21","190","192","185","186","-2.11 %","2,765.00"
"AKPL","2019-01-22","186","186","181","185","-0.54 %","954.00"
"AKPL","2019-01-23","185","186","183","185","0.00 %","307.00"
"AKPL","2019-01-24","185","187","183","184","-0.54 %","402.00"
"AKPL","2019-01-27","184","184","178","180","-2.17 %","1,223.00"
"AKPL","2019-01-28","180","185","180","185","2.78 %","136.00"
"AKPL","2019-01-29","185","185","182","184","-0.54 %","154.00"
"AKPL","2019-01-30","184","185","182","185","0.54 %","838.00"
"AKPL","2019-01-31","185","187","184","187","1.08 %","694.00"
"AKPL","2019-02-03","187","187","182","182","-2.67 %","1,703.00"
"AKPL","2019-02-04","182","183","176","182","0.00 %","728.00"
"AKPL","2019-02-05","180","183","179","182","0.00 %","485.00"
"AKPL","2019-02-06","179","182","177","179","-1.65 %","539.00"
"AKPL","2019-02-07","178","179","176","179","0.00 %","372.00"
"AKPL","2019-02-10","176","179","172","174","-2.79 %","1,035.00"
"AKPL","2019-02-11","172","175","171","172","-1.15 %","1,190.00"
"AKPL","2019-02-12","172","175","172","172","0.00 %","846.00"
"AKPL","2019-02-13","170","172","166","169","-1.74 %","424.00"
"AKPL","2019-02-14","169","169","162","163","-3.55 %","2,648.00"
"AKPL","2019-02-17","160","163","155","155","-4.91 %","1,367.00"
"AKPL","2019-02-18","153","155","148","148","-4.52 %","2,580.00"
"AKPL","2019-02-19","146","156","146","156","5.41 %","2,243.00"
"AKPL","2019-02-20","153","156","149","152","-2.56 %","832.00"
"AKPL","2019-02-21","149","152","149","152","0.00 %","275.00"
"AKPL","2019-02-24","149","157","148","152","0.00 %","1,018.00"
"AKPL","2019-02-25","149","152","148","152","0.00 %","557.00"
"AKPL","2019-02-26","155","155","152","153","0.66 %","378.00"
"AKPL","2019-02-27","153","155","152","155","1.31 %","62.00"
"AKPL","2019-03-03","155","157","152","152","-1.94 %","1,001.00"
"AKPL","2019-03-05","151","161","151","156","2.63 %","1,597.00"
"AKPL","2019-03-06","154","158","153","158","1.28 %","1,040.00"
"AKPL","2019-03-07","160","167","158","167","5.70 %","1,234.00"
"AKPL","2019-03-09","166","172","166","172","2.99 %","579.00"
"AKPL","2019-03-10","166","172","166","172","2.99 %","579.00"
"AKPL","2019-03-11","170","184","169","181","5.23 %","7,392.00"
"AKPL","2019-03-12","178","190","176","184","1.66 %","1,249.00"
"AKPL","2019-03-13","191","193","178","178","-7.77 %","4,298.00"
"AKPL","2019-03-14","176","180","176","178","0.00 %","364.00"
"AKPL","2019-03-17","181","181","177","180","1.12 %","1,669.00"
"AKPL","2019-03-18","179","179","175","175","-2.78 %","301.00"
"AKPL","2019-03-19","172","172","169","170","-2.86 %","860.00"
"AKPL","2019-03-21","167","173","165","173","1.76 %","895.00"
"AKPL","2019-03-24","170","170","167","167","-3.47 %","519.00"
"AKPL","2019-03-25","167","169","164","167","0.00 %","801.00"
"AKPL","2019-03-26","165","170","165","169","1.20 %","835.00"
"AKPL","2019-03-27","169","171","166","170","0.59 %","305.00"
"AKPL","2019-03-28","170","176","167","176","3.53 %","342.00"
"AKPL","2019-03-31","176","184","171","184","4.55 %","1,698.00"
"AKPL","2019-04-01","181","187","177","184","0.00 %","5,844.00"
"AKPL","2019-04-02","181","181","172","181","-1.63 %","195.00"
"AKPL","2019-04-03","178","184","175","182","0.55 %","3,562.00"
"AKPL","2019-04-04","179","185","176","179","-1.65 %","6,799.00"
"AKPL","2019-04-07","176","176","170","174","-2.79 %","569.00"
"AKPL","2019-04-08","174","177","168","169","-2.87 %","3,043.00"
"AKPL","2019-04-09","166","172","165","171","1.18 %","745.00"
"AKPL","2019-04-10","169","177","164","171","0.00 %","2,888.00"
"AKPL","2019-04-11","168","171","165","170","-0.58 %","1,456.00"
"AKPL","2019-04-15","167","168","165","165","-2.94 %","210.00"
"AKPL","2019-04-16","168","169","166","166","0.61 %","638.00"
"AKPL","2019-04-17","166","169","162","169","1.81 %","1,731.00"
"AKPL","2019-04-18","166","166","162","163","-3.55 %","623.00"
"AKPL","2019-04-21","162","177","161","177","8.59 %","904.00"
"AKPL","2019-04-22","174","174","171","171","-3.39 %","200.00"
"AKPL","2019-04-23","168","168","162","163","-4.68 %","1,382.00"
"AKPL","2019-04-24","160","171","160","171","4.91 %","1,576.00"
"AKPL","2019-04-25","173","173","167","167","-2.34 %","524.00"
"AKPL","2019-04-28","164","181","161","181","8.38 %","2,046.00"
"AKPL","2019-04-30","178","194","172","191","5.52 %","12,666.00"
"AKPL","2019-05-02","188","194","180","184","-3.66 %","13,329.00"
"AKPL","2019-05-05","181","181","177","178","-3.26 %","801.00"
"AKPL","2019-05-06","176","183","176","183","2.81 %","4,525.00"
"AKPL","2019-05-07","183","185","176","185","1.09 %","1,733.00"
"AKPL","2019-05-08","182","182","176","179","-3.24 %","2,199.00"
"AKPL","2019-05-09","177","181","176","181","1.12 %","1,417.00"
"AKPL","2019-05-12","178","191","176","188","3.87 %","7,419.00"
"AKPL","2019-05-13","191","200","183","199","5.85 %","7,078.00"
"AKPL","2019-05-14","198","208","196","200","0.50 %","7,892.00"
"AKPL","2019-05-15","196","199","195","196","-2.00 %","2,810.00"
"AKPL","2019-05-16","194","200","191","200","2.04 %","9,575.00"
"AKPL","2019-05-19","197","197","192","192","-4.00 %","5,730.00"
"AKPL","2019-05-20","190","190","186","188","-2.08 %","9,209.00"
"AKPL","2019-05-21","185","204","185","198","5.32 %","4,286.00"
"AKPL","2019-05-22","201","217","201","217","9.60 %","26,290.00"
"AKPL","2019-05-23","220","220","197","205","-5.53 %","10,678.00"
"AKPL","2019-05-26","201","201","190","192","-6.34 %","4,013.00"
"AKPL","2019-05-27","183","200","183","200","4.17 %","2,791.00"
"AKPL","2019-05-28","196","198","193","198","-1.00 %","1,437.00"
"AKPL","2019-05-29","195","195","192","192","-3.03 %","3,380.00"
"AKPL","2019-05-30","191","195","191","192","0.00 %","2,485.00"
"AKPL","2019-06-02","190","201","186","192","0.00 %","6,704.00"
"AKPL","2019-06-03","189","190","186","187","-2.60 %","2,588.00"
"AKPL","2019-06-04","184","192","184","192","2.67 %","1,592.00"
"AKPL","2019-06-06","189","194","189","193","0.52 %","3,591.00"
"AKPL","2019-06-10","191","194","191","191","-1.04 %","599.00"
"AKPL","2019-06-11","194","194","188","190","-0.52 %","1,154.00"
"AKPL","2019-06-12","188","189","187","187","-1.58 %","1,016.00"
