"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GLH","2021-03-16","299","328","299","328","9.70 %","10,180.00"
"GLH","2021-03-17","344","360","344","360","9.76 %","35,073.00"
"GLH","2021-03-18","378","396","378","396","10.00 %","26,620.00"
"GLH","2021-03-21","415","435","357","372","-6.06 %","234,228.00"
"GLH","2021-03-22","372","392","340","392","5.38 %","46,079.00"
"GLH","2021-03-23","411","411","363","388","-1.02 %","33,100.00"
"GLH","2021-03-24","395","416","370","399","2.84 %","59,650.00"
"GLH","2021-03-25","410","410","378","389","-2.51 %","27,990.00"
"GLH","2021-03-29","395","395","372","380","-2.31 %","26,750.00"
"GLH","2021-03-30","375","390","368","379","-0.26 %","20,562.00"
"GLH","2021-03-31","392","392","370","380","0.26 %","19,019.00"
"GLH","2021-04-01","376","382","375","377","-0.79 %","15,316.00"
"GLH","2021-04-04","395","395","372","380","0.80 %","23,391.00"
"GLH","2021-04-05","380","385","373","377","-0.79 %","14,635.00"
"GLH","2021-04-06","370","377","365","374","-0.80 %","17,225.00"
"GLH","2021-04-07","389","389","362","373","-0.27 %","17,195.00"
"GLH","2021-04-08","390","410","371","410","9.92 %","81,011.00"
"GLH","2021-04-12","410","421","400","401","-2.20 %","43,508.00"
"GLH","2021-04-13","381","409","381","397","-1.00 %","17,889.00"
"GLH","2021-04-15","405","410","388","393","-1.01 %","18,195.00"
"GLH","2021-04-18","400","400","386","390","-0.76 %","12,353.00"
"GLH","2021-04-19","395","401","372","383","-1.79 %","12,456.00"
"GLH","2021-04-20","376","392","376","387","1.04 %","14,831.00"
"GLH","2021-04-21","391","395","381","388","-0.77 %","9,608.00"
"GLH","2021-04-22","381","386","374","386","-0.52 %","12,225.00"
"GLH","2021-04-25","379","379","364","372","-3.63 %","20,901.00"
"GLH","2021-04-26","365","365","345","356","-4.30 %","26,868.00"
"GLH","2021-04-27","350","368","349","365","2.53 %","12,989.00"
"GLH","2021-04-28","379","379","353","360","-2.17 %","7,244.00"
"GLH","2021-04-29","350","374","350","367","1.94 %","13,195.00"
"GLH","2021-05-02","365","378","365","375","2.18 %","13,085.00"
"GLH","2021-05-03","368","382","368","371","-1.07 %","19,169.00"
"GLH","2021-05-04","373","383","364","383","3.23 %","21,924.00"
"GLH","2021-05-05","383","405","369","400","4.44 %","56,811.00"
"GLH","2021-05-06","405","405","382","388","-3.00 %","19,453.00"
"GLH","2021-05-09","407","407","375","384","-1.03 %","32,899.00"
"GLH","2021-05-10","403","422","369","386","0.52 %","16,664.00"
"GLH","2021-05-11","379","394","372","393","1.81 %","22,186.00"
"GLH","2021-05-12","400","400","385","393","0.00 %","47,981.00"
"GLH","2021-05-13","395","400","390","399","1.53 %","39,488.00"
"GLH","2021-05-16","399","399","383","388","-2.76 %","46,265.00"
"GLH","2021-05-17","369","390","369","389","0.26 %","36,107.00"
"GLH","2021-05-18","383","417","383","406","4.37 %","87,505.00"
"GLH","2021-05-19","410","410","392","393","-3.20 %","18,488.00"
"GLH","2021-05-20","395","402","386","388","-1.27 %","17,114.00"
"GLH","2021-05-23","380","395","380","391","0.77 %","20,910.00"
"GLH","2021-05-24","398","398","386","387","-1.02 %","31,570.00"
"GLH","2021-05-25","382","408","382","401","3.62 %","52,861.00"
"GLH","2021-05-27","401","434","400","420","4.74 %","116,366.00"
"GLH","2021-05-30","425","443","399","402","-4.29 %","72,953.00"
"GLH","2021-05-31","382","407","382","388","-3.48 %","33,760.00"
"GLH","2021-06-01","385","390","378","381","-1.80 %","20,792.00"
"GLH","2021-06-02","381","393","376","392","2.89 %","22,681.00"
"GLH","2021-06-03","392","394","381","383","-2.30 %","29,683.00"
"GLH","2021-06-06","383","385","370","374","-2.35 %","35,202.00"
"GLH","2021-06-07","380","386","373","383","2.41 %","31,129.00"
"GLH","2021-06-08","378","393","378","382","-0.26 %","37,584.00"
"GLH","2021-06-09","382","388","378","378","-0.01 %","22,164.00"
"GLH","2021-06-10","361","415","361","415","9.79 %","89,320.00"
"GLH","2021-06-13","435","444","403","441","6.27 %","159,930.00"
"GLH","2021-06-14","463","463","423","424","-3.85 %","68,732.00"
"GLH","2021-06-15","415","428","406","410","-3.30 %","55,734.00"
"GLH","2021-06-16","402","415","383","392","-4.39 %","39,748.00"
"GLH","2021-06-17","393","409","384","397","1.28 %","21,852.00"
"GLH","2021-06-20","390","392","380","382","-3.78 %","29,029.00"
"GLH","2021-06-21","376","389","373","379","-0.79 %","15,216.00"
"GLH","2021-06-22","390","395","370","395","4.22 %","16,943.00"
"GLH","2021-06-23","414","414","378","378","-4.30 %","10,287.00"
"GLH","2021-06-24","380","385","375","378","0.00 %","13,588.00"
"GLH","2021-06-27","378","390","375","378","0.00 %","14,232.00"
"GLH","2021-06-28","396","396","371","373","-1.32 %","20,718.00"
"GLH","2021-06-29","371","375","364","365","-2.14 %","13,517.00"
"GLH","2021-06-30","365","366","355","360","-1.37 %","8,884.00"
"GLH","2021-07-01","356","377","356","367","1.94 %","11,414.00"
"GLH","2021-07-04","360","370","359","359","-2.18 %","10,541.00"
