"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HYDROPOWER","2019-01-14","1191.32","1213.3","1191","1213.26","0.00 %","9,267,387.00"
"HYDROPOWER","2019-01-15","1248.76","1266.03","1246","1266.03","0.00 %","9,707,290.00"
"HYDROPOWER","2019-01-16","1266.03","1307.01","1287.17","1288.86","0.00 %","10,806,300.00"
"HYDROPOWER","2019-01-17","1331.05","1331.66","1323.89","1329.67","0.00 %","28,821,600.00"
"HYDROPOWER","2019-01-20","1377.29","1377.29","1273.46","1293.08","0.00 %","237,490,000.00"
"HYDROPOWER","2019-01-21","1260.53","1260.53","1237.04","1237.04","0.00 %","118,403,000.00"
"HYDROPOWER","2019-01-22","1204.74","1238.41","1204.74","1233.36","0.00 %","65,814,100.00"
"HYDROPOWER","2019-01-23","1232.39","1268.71","1230.86","1264.84","0.00 %","45,882,600.00"
"HYDROPOWER","2019-01-24","1270.87","1270.87","1251.92","1255.82","0.00 %","42,002,300.00"
"HYDROPOWER","2019-01-27","1244.73","1250.88","1236.02","1236.19","0.00 %","40,148,300.00"
"HYDROPOWER","2019-01-28","1240.54","1244.62","1235.93","1239.39","0.00 %","22,128,100.00"
"HYDROPOWER","2019-01-29","1236.76","1238.46","1225.54","1225.54","0.00 %","32,853,900.00"
"HYDROPOWER","2019-01-30","1220.93","1224","1214.99","1219.49","0.00 %","22,083,600.00"
"HYDROPOWER","2019-01-31","1217.82","1221.93","1214.75","1218.8","0.00 %","26,186,900.00"
"HYDROPOWER","2019-02-03","1217.15","1217.15","1200.81","1200.81","0.00 %","33,428,700.00"
"HYDROPOWER","2019-02-04","1195.64","1197.09","1178.77","1181.33","0.00 %","32,911,100.00"
"HYDROPOWER","2019-02-05","1171.56","1188.13","1171.24","1188.13","0.00 %","30,909,400.00"
"HYDROPOWER","2019-02-06","1183.52","1186.43","1168.23","1172.63","0.00 %","22,018,600.00"
"HYDROPOWER","2019-02-07","1166.28","1172.73","1160.45","1170.13","0.00 %","20,956,400.00"
"HYDROPOWER","2019-02-10","1164.49","1167.06","1143.95","1143.95","0.00 %","22,580,800.00"
"HYDROPOWER","2019-02-11","1141.5","1150.1","1133.88","1146.39","0.00 %","20,610,000.00"
"HYDROPOWER","2019-02-12","1145.49","1156.49","1143.94","1152.1","0.00 %","16,186,900.00"
"HYDROPOWER","2019-02-13","1146.55","1147.45","1140.21","1141.49","0.00 %","18,497,500.00"
