"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KLBS","2022-01-02","959.8","1055.7","959.8","1055.7","9.99 %","60.00"
"KLBS","2022-11-16","303.2","303.2","303.2","303.2","0.00 %","20.00"
"KLBS","2022-11-22","309.2","315.3","309.2","315.3","3.99 %","20.00"
"KLBS","2022-11-28","321.6","341.1","321.6","341.1","8.18 %","40.00"
"KLBS","2022-11-29","347.9","354.8","347.9","354.8","4.02 %","20.00"
"KLBS","2022-11-30","361.8","369","361.8","369","4.00 %","20.00"
"KLBS","2022-12-04","376.3","391.4","376.3","391.4","6.07 %","40.00"
"KLBS","2022-12-05","399.2","399.2","399.2","399.2","1.99 %","10.00"
"KLBS","2022-12-06","407.1","415.2","407.1","415.2","4.01 %","20.00"
"KLBS","2022-12-07","423.5","440.5","423.5","440.5","6.09 %","30.00"
"KLBS","2022-12-11","449.3","458.2","449.3","458.2","4.02 %","20.00"
"KLBS","2022-12-12","467.3","467.3","467.3","467.3","1.99 %","10.00"
"KLBS","2022-12-13","476.6","476.6","476.6","476.6","1.99 %","10.00"
"KLBS","2022-12-14","486.1","505.7","486.1","505.7","6.11 %","30.00"
"KLBS","2022-12-15","515.8","515.8","515.8","515.8","2.00 %","10.00"
"KLBS","2022-12-18","526.1","547.3","526.1","547.3","6.11 %","30.00"
"KLBS","2022-12-19","558.2","580.6","558.2","580.6","6.08 %","30.00"
"KLBS","2022-12-20","592.2","604","592.2","604","4.03 %","20.00"
"KLBS","2022-12-21","604","616","604","616","1.99 %","11.00"
"KLBS","2022-12-22","628.3","640.8","628.3","640.8","4.03 %","20.00"
"KLBS","2022-12-26","653.6","704.8","653.6","704.8","9.99 %","50.00"
"KLBS","2022-12-27","718.8","762.6","718.8","762.6","8.20 %","41.00"
"KLBS","2022-12-28","777.8","838.8","777.8","838.8","9.99 %","80.00"
"KLBS","2022-12-29","855.5","872.6","855.5","872.6","4.03 %","20.00"
"KLBS","2023-01-01","890","959.8","890","959.8","9.99 %","70.00"
"KLBS","2023-01-02","959.8","1055.7","959.8","1055.7","9.99 %","60.00"
"KLBS","2023-01-03","1076.8","1161.2","1076.8","1161.2","9.99 %","60.00"
"KLBS","2023-01-04","1184.4","1277.3","1184.4","1277.3","10.00 %","840.00"
"KLBS","2023-01-05","1302.8","1405","1302.8","1405","10.00 %","4,770.00"
"KLBS","2023-01-08","1433.1","1545.5","1433.1","1545.5","10.00 %","1,530.00"
"KLBS","2023-01-09","1545","1700","1545","1700","10.00 %","3,664.00"
"KLBS","2023-01-10","1734","1870","1601","1603.1","-5.70 %","3,595.00"
"KLBS","2023-01-12","1600","1603","1485","1486","-7.30 %","3,710.00"
