"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MICROFINANCE","2019-01-14","1385.26","1400.32","1385.4","1400.32","0.00 %","32,473,100.00"
"MICROFINANCE","2019-01-15","1407.7","1453.87","1407.7","1453.87","0.00 %","59,715,900.00"
"MICROFINANCE","2019-01-16","1453.87","1463.57","1436.38","1438.19","0.00 %","59,672,500.00"
"MICROFINANCE","2019-01-17","1440.01","1447.45","1436.41","1447.45","0.00 %","40,738,200.00"
"MICROFINANCE","2019-01-20","1444.72","1445.13","1435.07","1436.86","0.00 %","24,828,200.00"
"MICROFINANCE","2019-01-21","1437.33","1437.33","1415.92","1415.92","0.00 %","28,968,500.00"
"MICROFINANCE","2019-01-22","1416.55","1430.08","1415.97","1430.08","0.00 %","31,089,400.00"
"MICROFINANCE","2019-01-23","1430.09","1443.07","1429.77","1443.07","0.00 %","21,635,700.00"
"MICROFINANCE","2019-01-24","1442.94","1443.34","1434.86","1440.81","0.00 %","38,801,100.00"
"MICROFINANCE","2019-01-27","1441.16","1441.16","1425.09","1425.81","0.00 %","25,774,800.00"
"MICROFINANCE","2019-01-28","1428.84","1445.72","1428.72","1445.72","0.00 %","30,553,100.00"
"MICROFINANCE","2019-01-29","1448.29","1448.29","1431.37","1439.6","0.00 %","53,333,900.00"
"MICROFINANCE","2019-01-30","1439.71","1444.91","1438.98","1444.91","0.00 %","22,805,000.00"
"MICROFINANCE","2019-01-31","1445.15","1453.09","1444.01","1445.41","0.00 %","40,043,300.00"
"MICROFINANCE","2019-02-03","1449.37","1452.92","1440.26","1442.61","0.00 %","47,495,900.00"
"MICROFINANCE","2019-02-04","1445.54","1447","1428.06","1428.8","0.00 %","39,459,900.00"
"MICROFINANCE","2019-02-05","1427.82","1436.97","1427.82","1435.53","0.00 %","31,447,000.00"
"MICROFINANCE","2019-02-06","1436.67","1436.89","1422.08","1424.7","0.00 %","33,502,800.00"
"MICROFINANCE","2019-02-07","1424.72","1425.6","1423.15","1425.5","0.00 %","43,181,500.00"
"MICROFINANCE","2019-02-10","1428.61","1429.33","1407.85","1409.78","0.00 %","27,194,000.00"
"MICROFINANCE","2019-02-11","1409.11","1420.24","1407.11","1420.24","0.00 %","18,829,800.00"
"MICROFINANCE","2019-02-12","1420.22","1422.94","1413.53","1415.96","0.00 %","15,283,300.00"
"MICROFINANCE","2019-02-13","1415.97","1416.14","1399.66","1404.06","0.00 %","24,970,300.00"
"MICROFINANCE","2019-02-14","1403.78","1403.78","1385.79","1388.72","0.00 %","22,618,000.00"
"MICROFINANCE","2019-02-17","1391.13","1394.41","1384.5","1387.06","0.00 %","14,081,700.00"
"MICROFINANCE","2019-02-18","1388.13","1388.13","1376.63","1380.32","0.00 %","16,540,000.00"
"MICROFINANCE","2019-02-19","1381.05","1420.03","1379.61","1420.03","0.00 %","26,512,400.00"
"MICROFINANCE","2019-02-20","1423.39","1424.34","1400.36","1402.27","0.00 %","17,887,900.00"
"MICROFINANCE","2019-02-21","1403.22","1406.11","1400.75","1399.69","0.00 %","39,447,100.00"
"MICROFINANCE","2019-02-24","1397.28","1399.41","1378.97","1378.97","0.00 %","28,726,100.00"
"MICROFINANCE","2019-02-25","1378.78","1389.52","1369.41","1389.48","0.00 %","19,575,600.00"
"MICROFINANCE","2019-02-26","1392.46","1392.46","1373.93","1375.15","0.00 %","17,652,500.00"
"MICROFINANCE","2019-02-27","1375.45","1385.7","1372.78","1372.78","0.00 %","23,123,000.00"
"MICROFINANCE","2019-03-03","1373.19","1375.24","1365.23","1365.23","0.00 %","18,921,000.00"
"MICROFINANCE","2019-03-05","1365.38","1375.73","1363.66","1370.51","0.00 %","19,645,300.00"
"MICROFINANCE","2019-03-06","1370.56","1390.01","1369.71","1390.01","0.00 %","22,656,100.00"
"MICROFINANCE","2019-03-07","1390.38","1412.12","1389.16","1412.12","0.00 %","32,972,400.00"
"MICROFINANCE","2019-03-10","1412.97","1412.97","1403.2","1410.54","0.00 %","5,028,250.00"
"MICROFINANCE","2019-03-11","1410.55","1424.77","1408.44","1424.77","0.00 %","27,415,600.00"
"MICROFINANCE","2019-03-12","1427.93","1438.04","1422.47","1434.7","0.00 %","37,658,500.00"
"MICROFINANCE","2019-03-13","1431.59","1432.89","1413.09","1413.09","0.00 %","22,403,400.00"
"MICROFINANCE","2019-03-14","1413.46","1420.94","1409.07","1415.2","0.00 %","12,812,700.00"
"MICROFINANCE","2019-03-17","1414.81","1423.36","1414.66","1414.66","0.00 %","18,955,600.00"
"MICROFINANCE","2019-03-18","1414.21","1418.57","1403.98","1403.98","0.00 %","28,111,500.00"
"MICROFINANCE","2019-03-19","1404.91","1405.48","1395.03","1396.54","0.00 %","9,727,400.00"
"MICROFINANCE","2019-03-21","1398.47","1399.77","1382.05","1386.83","0.00 %","23,586,600.00"
"MICROFINANCE","2019-03-24","1385.77","1386.59","1374.07","1377.52","0.00 %","28,844,400.00"
