"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MLBS","2021-10-06","397.5","397.5","397.5","397.5","0.00 %","90.00"
"MLBS","2021-10-10","403.2","403.2","403.2","403.2","1.43 %","20.00"
"MLBS","2021-10-17","403.2","411.2","403.2","411.2","1.98 %","20.00"
"MLBS","2021-10-19","419.4","427.7","419.4","427.7","4.01 %","20.00"
"MLBS","2021-10-24","436.2","462.7","436.2","462.7","8.18 %","40.00"
"MLBS","2021-10-25","471.9","471.9","471.9","471.9","1.99 %","10.00"
"MLBS","2021-10-26","481.3","490.9","481.3","490.9","4.03 %","20.00"
"MLBS","2021-10-27","500.7","520.9","500.7","520.9","6.11 %","30.00"
"MLBS","2021-10-28","520.9","552.7","520.9","552.7","6.10 %","53.00"
"MLBS","2021-10-31","563.7","598","563.7","598","8.20 %","41.00"
"MLBS","2021-11-01","609.9","657.8","609.9","657.8","10.00 %","71.00"
"MLBS","2021-11-02","657.8","657.8","657.8","657.8","0.00 %","6.00"
"MLBS","2021-11-03","670.9","697.9","670.9","697.9","6.10 %","30.00"
"MLBS","2021-11-08","711.8","767.6","711.8","767.6","9.99 %","79.00"
"MLBS","2021-11-09","782.9","844.3","782.9","844.3","9.99 %","60.00"
"MLBS","2021-11-11","861.1","928.7","861.1","928.7","10.00 %","60.00"
"MLBS","2021-11-14","947.2","1021.5","947.2","1021.5","9.99 %","100.00"
"MLBS","2021-11-15","1041.9","1123.6","1041.9","1123.6","10.00 %","60.00"
"MLBS","2021-11-16","1146","1235.9","1146","1235.9","9.99 %","50.00"
"MLBS","2021-11-17","1260.6","1359.4","1260.6","1359.4","9.99 %","101.00"
"MLBS","2021-11-18","1386.5","1495.3","1386.5","1495.3","10.00 %","189.00"
"MLBS","2021-11-21","1525.2","1644.8","1525.2","1644.8","10.00 %","370.00"
"MLBS","2021-11-22","1677","1809.2","1677","1809.2","10.00 %","900.00"
"MLBS","2021-11-23","1845.3","1990.1","1845.3","1990.1","10.00 %","1,310.00"
"MLBS","2021-11-24","2029.9","2189.1","1985","1999","0.45 %","26,187.00"
"MLBS","2021-11-25","2005","2005","1851","1860.5","-6.93 %","10,621.00"
"MLBS","2021-11-28","1823.3","1823.3","1675","1710","-8.09 %","11,732.00"
"MLBS","2021-11-29","1676","1677","1618","1630","-4.68 %","4,964.00"
"MLBS","2021-11-30","1630","1720","1605","1720","5.52 %","1,831.00"
"MLBS","2021-12-01","1720","1720","1666","1690","-1.74 %","1,430.00"
"MLBS","2021-12-02","1661","1680","1621.2","1630","-3.55 %","2,460.00"
"MLBS","2021-12-05","1630","1630","1525","1553","-4.72 %","4,205.00"
"MLBS","2021-12-06","1525","1640","1500","1600","3.03 %","2,350.00"
"MLBS","2021-12-07","1600","1605","1520.1","1550","-3.13 %","1,981.00"
"MLBS","2021-12-08","1540","1540","1470","1518","-2.06 %","1,400.00"
"MLBS","2021-12-09","1510","1510","1466.2","1468.1","-3.29 %","860.00"
"MLBS","2021-12-12","1421","1451.5","1400","1400.1","-4.63 %","1,740.00"
"MLBS","2021-12-13","1372.1","1372.1","1266","1280","-8.58 %","2,799.00"
"MLBS","2021-12-14","1300","1408","1300","1400","9.38 %","970.00"
"MLBS","2021-12-15","1428","1510","1428","1470","5.00 %","2,638.00"
"MLBS","2021-12-16","1470","1470","1384.8","1401","-4.69 %","1,300.00"
"MLBS","2021-12-20","1429","1429","1370","1370","-2.21 %","1,500.00"
"MLBS","2021-12-21","1350","1370","1343","1370","0.00 %","670.00"
"MLBS","2021-12-22","1350","1474.9","1346","1390","1.46 %","929.00"
"MLBS","2021-12-23","1370","1414","1370","1385","-0.36 %","1,170.00"
"MLBS","2021-12-26","1386","1400","1359","1385","0.00 %","790.00"
"MLBS","2021-12-27","1385","1408","1340","1340","-3.25 %","1,205.00"
"MLBS","2021-12-28","1335","1393.3","1309.1","1335","-0.37 %","816.00"
"MLBS","2021-12-29","1322","1347","1309","1314","-1.57 %","1,398.00"
"MLBS","2022-01-02","1314","1375","1290","1340","1.98 %","1,120.00"
"MLBS","2022-01-03","1366.8","1421","1330","1361","1.57 %","850.00"
"MLBS","2022-01-04","1388.2","1399","1337","1390","2.13 %","1,138.00"
"MLBS","2022-01-05","1390","1446","1361","1390","0.00 %","930.00"
"MLBS","2022-01-06","1363","1400","1363","1388","-0.14 %","960.00"
"MLBS","2022-01-09","1388","1437","1388","1400","0.86 %","2,681.00"
"MLBS","2022-01-10","1395","1415","1381","1400","0.00 %","1,050.00"
"MLBS","2022-01-11","1400","1540","1400","1500","7.14 %","5,380.00"
"MLBS","2022-01-12","1515","1616","1500","1530","2.00 %","5,859.00"
"MLBS","2022-01-13","1530","1600","1522","1600","4.58 %","3,540.00"
"MLBS","2022-01-16","1600","1695","1600","1655","3.44 %","4,063.00"
"MLBS","2022-01-17","1656","1685","1600","1621","-2.05 %","2,350.00"
"MLBS","2022-01-18","1590","1653","1539","1540","-5.00 %","4,705.00"
"MLBS","2022-01-19","1541.3","1565","1535","1538","-0.13 %","3,221.00"
"MLBS","2022-01-20","1522","1600","1516.2","1550","0.78 %","2,935.00"
"MLBS","2022-01-23","1540","1581","1530","1535","-0.97 %","1,307.00"
"MLBS","2022-01-24","1515","1515","1469","1470","-4.23 %","1,569.00"
"MLBS","2022-01-25","1450","1485","1441","1462","-0.54 %","1,413.00"
"MLBS","2022-01-26","1435","1450","1400","1400","-4.24 %","1,441.00"
"MLBS","2022-01-27","1428","1460","1406","1453","3.79 %","730.00"
"MLBS","2022-01-30","1482","1590","1482","1550","6.68 %","2,751.00"
"MLBS","2022-01-31","1580","1600","1530","1572.2","1.43 %","1,940.00"
"MLBS","2022-02-01","1570.9","1571.9","1531","1560","-0.78 %","1,251.00"
"MLBS","2022-02-03","1535","1561","1520","1520","-2.56 %","2,875.00"
"MLBS","2022-02-06","1489.6","1500","1477","1500","-1.32 %","1,020.00"
"MLBS","2022-02-07","1471","1500","1471","1490","-0.67 %","903.00"
"MLBS","2022-02-08","1500","1530","1450","1461.1","0.00 %","1,119.00"
"MLBS","2022-02-09","1432","1455","1426","1450","-0.76 %","990.00"
"MLBS","2022-02-10","1430","1458","1430","1432","-1.24 %","570.00"
"MLBS","2022-02-13","1403.5","1420","1372","1372","-4.19 %","1,975.00"
"MLBS","2022-02-14","1370","1405","1370","1390","1.31 %","585.00"
"MLBS","2022-02-15","1369","1420","1369","1420","2.16 %","860.00"
"MLBS","2022-02-16","1421","1447","1402","1422","0.14 %","468.00"
"MLBS","2022-02-17","1422","1425","1394","1400","-1.55 %","1,135.00"
"MLBS","2022-02-20","1399","1410","1349","1382","-1.29 %","770.00"
"MLBS","2022-02-21","1400","1430","1380","1385.5","0.25 %","1,356.00"
"MLBS","2022-02-22","1380","1425","1380","1403","1.26 %","1,260.00"
"MLBS","2022-02-23","1420","1448","1403","1432","2.07 %","935.00"
"MLBS","2022-02-24","1420","1420","1390.2","1393","-2.72 %","754.00"
"MLBS","2022-02-27","1393","1395","1376","1377.2","-1.13 %","300.00"
"MLBS","2022-02-28","1400","1404.7","1357.3","1358.1","-1.39 %","753.00"
"MLBS","2022-03-02","1333","1359","1301","1307","-3.76 %","651.00"
"MLBS","2022-03-06","1333","1345","1311","1334.9","2.13 %","455.00"
"MLBS","2022-03-07","1340","1352","1321","1349","1.06 %","300.00"
"MLBS","2022-03-09","1336","1345","1333","1335","-1.04 %","471.00"
"MLBS","2022-03-10","1316.1","1350","1316.1","1350","1.12 %","470.00"
"MLBS","2022-03-13","1340","1394","1340","1394","3.26 %","633.00"
"MLBS","2022-03-14","1421","1430","1366.2","1390","-0.29 %","250.00"
"MLBS","2022-03-15","1375","1380.2","1366","1370.1","-1.43 %","590.00"
"MLBS","2022-03-16","1395","1410","1382","1390","1.45 %","695.00"
"MLBS","2022-03-20","1389","1389","1363","1380","-0.72 %","480.00"
"MLBS","2022-03-21","1390","1390","1362","1375","-0.36 %","395.00"
"MLBS","2022-03-22","1400","1400","1368","1369","-0.44 %","670.00"
"MLBS","2022-03-23","1351.1","1374","1351.1","1374","0.37 %","1,537.00"
"MLBS","2022-03-24","1350.1","1460","1350.1","1414","2.91 %","1,200.00"
"MLBS","2022-03-27","1386.1","1390","1350","1390","-1.70 %","1,043.00"
"MLBS","2022-03-28","1365","1369.9","1340","1367.9","-1.59 %","510.00"
"MLBS","2022-03-29","1360","1360","1327.1","1340","-2.04 %","410.00"
"MLBS","2022-03-30","1315.1","1400","1315.1","1369","2.16 %","1,385.00"
"MLBS","2022-03-31","1350","1355","1330.1","1330.1","-2.84 %","450.00"
"MLBS","2022-04-03","1312","1380","1312","1343","0.97 %","1,063.00"
"MLBS","2022-04-04","1319.2","1340","1317","1318","-1.86 %","485.00"
"MLBS","2022-04-05","1339.5","1340","1270.5","1281.5","-2.77 %","536.00"
"MLBS","2022-04-06","1281.5","1292","1261.2","1292","0.82 %","305.00"
