"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MLBSL","2021-03-16","438","446","438","446","1.83 %","30.00"
"MLBSL","2021-03-17","140","446","446","446","0.00 %","4.00"
"MLBSL","2021-03-18","446","446","446","446","0.00 %","1.00"
"MLBSL","2021-03-22","440","463","440","463","3.81 %","31.00"
"MLBSL","2021-03-23","472","490","472","490","5.83 %","30.00"
"MLBSL","2021-03-24","499","508","499","508","3.67 %","20.00"
"MLBSL","2021-03-25","518","538","518","538","5.91 %","30.00"
"MLBSL","2021-03-29","564","591","564","591","9.85 %","50.00"
"MLBSL","2021-03-30","602","602","602","602","1.86 %","10.00"
"MLBSL","2021-03-31","614","662","614","662","9.97 %","50.00"
"MLBSL","2021-04-01","695","708","695","708","6.95 %","20.00"
"MLBSL","2021-04-04","722","736","722","736","3.95 %","20.00"
"MLBSL","2021-04-05","718","765","718","765","3.94 %","32.00"
"MLBSL","2021-04-06","780","841","780","841","9.93 %","50.00"
"MLBSL","2021-04-07","857","925","857","925","9.99 %","60.00"
"MLBSL","2021-04-12","943","1017","943","1017","9.95 %","90.00"
"MLBSL","2021-04-13","1037","1099","1037","1099","8.06 %","50.00"
"MLBSL","2021-04-15","1120","1208","1120","1208","9.92 %","70.00"
"MLBSL","2021-04-18","1232","1328","1232","1328","9.93 %","80.00"
"MLBSL","2021-04-19","1354","1460","1354","1460","9.94 %","120.00"
"MLBSL","2021-04-20","1489","1606","1489","1606","10.00 %","120.00"
"MLBSL","2021-04-21","1686","1766","1686","1766","9.96 %","270.00"
"MLBSL","2021-04-22","1801","1942","1801","1942","9.97 %","370.00"
"MLBSL","2021-04-25","1980","2136","1980","2136","9.99 %","1,025.00"
"MLBSL","2021-04-26","2178","2349","2178","2349","9.97 %","1,231.00"
"MLBSL","2021-04-27","2466","2583","2466","2583","9.96 %","1,390.00"
"MLBSL","2021-04-28","2766","2841","2766","2841","9.99 %","1,280.00"
"MLBSL","2021-04-29","2979","3125","2979","3125","10.00 %","1,850.00"
"MLBSL","2021-05-02","3281","3437","3281","3437","9.98 %","1,810.00"
"MLBSL","2021-05-03","3608","3780","3608","3780","9.98 %","2,420.00"
"MLBSL","2021-05-04","3969","4158","3969","4158","10.00 %","2,430.00"
"MLBSL","2021-05-05","4365","4573","4365","4573","9.98 %","2,245.00"
"MLBSL","2021-05-06","4801","5030","4801","5030","9.99 %","12,843.00"
"MLBSL","2021-05-09","5281","5493","4527","4527","-10.00 %","51,088.00"
"MLBSL","2021-05-10","4400","4845","4263","4700","3.82 %","28,160.00"
"MLBSL","2021-05-11","4700","4800","4650","4725","0.53 %","6,971.00"
"MLBSL","2021-05-12","4700","4700","4651","4670","-1.16 %","6,316.00"
"MLBSL","2021-05-13","4670","4670","4584","4585","-1.82 %","9,166.00"
"MLBSL","2021-05-16","4570","4660","4560","4657","1.57 %","11,595.00"
"MLBSL","2021-05-17","4650","4664","4605","4638","-0.41 %","7,610.00"
"MLBSL","2021-05-18","4620","4665","4620","4645","0.15 %","8,135.00"
"MLBSL","2021-05-19","4673","4674","4578","4600","-0.97 %","6,930.00"
"MLBSL","2021-05-20","4530","4650","4530","4615","0.33 %","8,460.00"
"MLBSL","2021-05-23","4525","4618","4525","4590","-0.54 %","4,561.00"
"MLBSL","2021-05-24","4565","4620","4565","4583","-0.15 %","5,060.00"
"MLBSL","2021-05-25","4580","4600","4561","4571","-0.26 %","3,725.00"
"MLBSL","2021-05-27","4500","4504","4388","4400","-3.74 %","12,727.00"
"MLBSL","2021-05-30","4400","4484","4303","4339","-1.39 %","5,070.00"
"MLBSL","2021-05-31","4315","4400","4314","4322","-0.39 %","4,288.00"
"MLBSL","2021-06-01","4300","4350","4290","4305","-0.39 %","3,375.00"
"MLBSL","2021-06-02","4305","4330","4273","4320","0.35 %","3,588.00"
"MLBSL","2021-06-03","4320","4752","4320","4752","10.00 %","13,953.00"
"MLBSL","2021-06-06","4989","5227","4989","5227","10.00 %","19,299.00"
"MLBSL","2021-06-07","5488","5749","4999","5390","3.12 %","39,837.00"
"MLBSL","2021-06-08","5500","5600","5250","5299","-1.69 %","7,851.00"
"MLBSL","2021-06-09","5560","5560","5050","5232","-0.01 %","5,274.00"
"MLBSL","2021-06-10","5250","5330","5150","5188","-0.84 %","5,106.00"
"MLBSL","2021-06-13","5188","5400","5101","5102","-1.66 %","4,948.00"
"MLBSL","2021-06-14","5170","5170","5050","5050","-1.02 %","5,019.00"
"MLBSL","2021-06-15","5100","5300","5002","5030","-0.40 %","4,994.00"
"MLBSL","2021-06-16","5030","5304","4875","5035","0.10 %","7,023.00"
"MLBSL","2021-06-17","5135","5237","5000","5004","-0.62 %","3,842.00"
"MLBSL","2021-06-20","5100","5100","4750","4840","-3.28 %","7,297.00"
"MLBSL","2021-06-21","4765","4936","4704","4730","-2.27 %","4,168.00"
"MLBSL","2021-06-22","4800","4840","4705","4800","1.48 %","3,538.00"
"MLBSL","2021-06-23","4720","4814","4635","4670","-2.71 %","2,396.00"
"MLBSL","2021-06-24","4670","4814","4640","4670","0.00 %","2,422.00"
"MLBSL","2021-06-27","4750","4763","4585","4660","-0.21 %","1,252.00"
"MLBSL","2021-06-28","4601","4810","4601","4800","3.00 %","3,633.00"
"MLBSL","2021-06-29","5040","5040","4721","4730","-1.46 %","2,746.00"
"MLBSL","2021-06-30","4700","4784","4660","4770","0.85 %","1,270.00"
"MLBSL","2021-07-01","4700","4750","4650","4699","-1.49 %","1,644.00"
"MLBSL","2021-07-04","4670","4770","4650","4650","-1.04 %","1,675.00"
"MLBSL","2021-07-05","4650","4750","4626","4700","1.08 %","2,880.00"
"MLBSL","2021-07-06","4700","4720","4630","4700","0.00 %","2,873.00"
"MLBSL","2021-07-07","4710","4807","4710","4780","1.70 %","2,063.00"
