"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RHGCL","2022-01-02","226","235.6","221","235.6","2.43 %","13,861.00"
"RHGCL","2022-08-31","319","350.9","319","322.1","0.00 %","97,653.00"
"RHGCL","2022-09-01","322","322","298.1","308","-4.38 %","31,303.00"
"RHGCL","2022-09-02","308","313","298.4","308.9","0.29 %","8,910.00"
"RHGCL","2022-09-04","310","322","302.7","310","0.36 %","15,867.00"
"RHGCL","2022-09-05","305.1","312","304","307","-0.97 %","13,743.00"
"RHGCL","2022-09-06","303","307","299","299","-2.61 %","12,826.00"
"RHGCL","2022-09-07","293.2","296","287.3","296","-1.00 %","9,955.00"
"RHGCL","2022-09-08","296","310","287","303","2.36 %","13,203.00"
"RHGCL","2022-09-11","297","309","293","298","-1.65 %","8,300.00"
"RHGCL","2022-09-12","297","297","284.2","291","-2.35 %","11,426.00"
"RHGCL","2022-09-13","291","299.8","285","295.1","1.41 %","6,500.00"
"RHGCL","2022-09-14","289.2","304","289.2","300","1.66 %","14,405.00"
"RHGCL","2022-09-15","294","302.1","279","284","-5.33 %","16,379.00"
"RHGCL","2022-09-16","278.4","278.4","263.7","274","-3.52 %","10,641.00"
"RHGCL","2022-09-18","268.6","278","249.9","254","-7.30 %","22,806.00"
"RHGCL","2022-09-20","249","249","235","239.9","-5.55 %","8,516.00"
"RHGCL","2022-09-21","244.6","244.6","232.4","232.4","-3.13 %","5,731.00"
"RHGCL","2022-09-22","232.4","232.5","225.2","230","-1.03 %","8,612.00"
"RHGCL","2022-09-25","225.4","225.4","217","224","-2.61 %","6,236.00"
"RHGCL","2022-09-27","224","242","216.7","231","3.13 %","4,490.00"
"RHGCL","2022-09-28","226.4","240.3","209","217","-6.06 %","5,269.00"
"RHGCL","2022-09-29","215.1","225.7","215.1","220.9","1.80 %","1,820.00"
"RHGCL","2022-10-09","220","229","216","226","2.31 %","3,347.00"
"RHGCL","2022-10-10","221.5","225","216","216.1","-4.38 %","5,525.00"
"RHGCL","2022-10-11","216","224","212.1","224","3.66 %","2,855.00"
"RHGCL","2022-10-12","219.6","224","209","220.5","-1.56 %","3,706.00"
"RHGCL","2022-10-13","216.1","224","212.8","215.2","-0.59 %","4,501.00"
"RHGCL","2022-10-16","212","222","212","222","3.16 %","5,782.00"
"RHGCL","2022-10-17","218","222.3","214","218","-1.80 %","3,480.00"
"RHGCL","2022-10-19","213.7","216","210","210.4","-3.49 %","5,745.00"
"RHGCL","2022-10-20","206.2","214","203.1","210","-0.19 %","4,795.00"
"RHGCL","2022-10-23","206","211.1","204","210","0.00 %","2,980.00"
"RHGCL","2022-10-31","206","211.1","206","207","-1.43 %","3,090.00"
"RHGCL","2022-11-01","203.3","219.9","203.3","217.1","4.88 %","7,940.00"
"RHGCL","2022-11-02","215","221.4","211.5","220","1.34 %","4,035.00"
"RHGCL","2022-11-03","220","227.6","215","219","-0.45 %","9,907.00"
"RHGCL","2022-11-06","223","227","211","227","3.65 %","6,887.00"
"RHGCL","2022-11-07","222.5","234","219","223","-1.76 %","13,987.00"
"RHGCL","2022-11-08","220","223.9","218","223","0.00 %","5,053.00"
"RHGCL","2022-11-09","220","220","211.8","213","-4.48 %","3,187.00"
"RHGCL","2022-11-10","210","210.5","205","206","-3.29 %","5,084.00"
"RHGCL","2022-11-13","206","210","203.1","206","0.00 %","3,170.00"
"RHGCL","2022-11-14","202","214.9","202","214.9","4.32 %","4,634.00"
"RHGCL","2022-11-15","210.7","213","200","207","-3.68 %","12,238.00"
"RHGCL","2022-11-16","205","215","203","214","3.38 %","4,122.00"
"RHGCL","2022-11-17","210","218","210","217","1.40 %","7,249.00"
"RHGCL","2022-11-22","213","221","205","214","-1.38 %","11,898.00"
"RHGCL","2022-11-23","209.8","210","206","209.9","-1.92 %","1,615.00"
"RHGCL","2022-11-24","206","212","206","209","-0.43 %","2,511.00"
"RHGCL","2022-11-27","205.1","215.2","205.1","213","1.91 %","11,132.00"
"RHGCL","2022-11-28","212","217.2","207.3","213","0.00 %","5,350.00"
"RHGCL","2022-11-29","208.8","211.9","208","211.8","-0.56 %","4,270.00"
"RHGCL","2022-11-30","207.7","213","207.7","212","0.09 %","2,200.00"
"RHGCL","2022-12-01","216.2","217.2","208.3","211","-0.47 %","6,485.00"
"RHGCL","2022-12-04","210","217","208.1","214","1.42 %","11,536.00"
"RHGCL","2022-12-05","210","217.9","208","211.8","-1.03 %","4,759.00"
"RHGCL","2022-12-06","210","212.9","207.7","212.9","0.52 %","5,597.00"
"RHGCL","2022-12-07","217.1","217.1","206.2","208","-2.30 %","2,910.00"
"RHGCL","2022-12-11","204.1","208","201.2","205","-1.44 %","9,442.00"
"RHGCL","2022-12-12","201.2","210","201.2","207","0.98 %","4,140.00"
"RHGCL","2022-12-13","210.9","211","203","207.9","0.43 %","1,130.00"
"RHGCL","2022-12-14","207.9","208","204","205","-1.39 %","5,389.00"
"RHGCL","2022-12-15","202","205","202","205","0.00 %","4,137.00"
"RHGCL","2022-12-18","201","202.5","197.2","200","-2.44 %","6,020.00"
"RHGCL","2022-12-19","198","200","194.1","200","0.00 %","4,260.00"
"RHGCL","2022-12-20","196","204","196","200.8","0.40 %","5,670.00"
"RHGCL","2022-12-21","196.9","200.3","193.2","198","-1.39 %","3,170.00"
"RHGCL","2022-12-22","198.5","199.8","191.6","199.8","0.91 %","2,490.00"
"RHGCL","2022-12-26","196","208.8","196","207","3.60 %","7,353.00"
"RHGCL","2022-12-27","208","222.3","208","220","6.28 %","33,037.00"
"RHGCL","2022-12-28","224.4","224.4","212.1","218.9","-0.50 %","11,505.00"
"RHGCL","2022-12-29","223.2","237.6","210.3","237.6","8.54 %","17,926.00"
"RHGCL","2023-01-01","238","241.4","223.6","230","-3.20 %","38,315.00"
"RHGCL","2023-01-02","226","235.6","221","235.6","2.43 %","13,861.00"
"RHGCL","2023-01-03","240.3","240.3","226.4","231","-1.95 %","14,031.00"
"RHGCL","2023-01-04","231","247","224.5","247","6.93 %","28,218.00"
"RHGCL","2023-01-05","250","262.8","238.5","254.9","3.20 %","29,875.00"
"RHGCL","2023-01-08","259.9","273","249.9","255","0.04 %","34,356.00"
"RHGCL","2023-01-09","255","280.5","255","274.9","7.80 %","22,850.00"
"RHGCL","2023-01-10","272.1","302","257","274.9","0.00 %","45,311.00"
"RHGCL","2023-01-12","279","280","247.5","270","-1.78 %","32,776.00"
"RHGCL","2023-01-17","264.6","292","256.1","284","5.19 %","25,994.00"
"RHGCL","2023-01-18","284","298","279","285","0.35 %","27,024.00"
"RHGCL","2023-01-19","279.3","289.9","271.1","285","0.00 %","27,546.00"
"RHGCL","2023-01-23","285","295","277.9","287","0.70 %","33,360.00"
"RHGCL","2023-01-24","281.3","285.6","270","285.6","-0.49 %","32,363.00"
"RHGCL","2023-01-25","285","300","276.1","290.8","1.82 %","35,292.00"
"RHGCL","2023-01-26","295","315","290","313","7.63 %","40,662.00"
"RHGCL","2023-01-29","319.2","319.2","300.1","310","-0.96 %","37,323.00"
"RHGCL","2023-01-30","307","310","288","295","-4.84 %","47,991.00"
"RHGCL","2023-01-31","289.3","313","289.3","299","1.36 %","38,093.00"
"RHGCL","2023-02-01","295","317","295","317","6.02 %","32,470.00"
"RHGCL","2023-02-02","318","323.2","302.2","303.4","-4.29 %","26,506.00"
"RHGCL","2023-02-05","301.1","314.9","298.2","300","-1.12 %","20,402.00"
"RHGCL","2023-02-06","300","305","298.5","301","0.33 %","14,081.00"
"RHGCL","2023-02-07","301","319.9","301","316.2","5.05 %","25,863.00"
"RHGCL","2023-02-08","313","322","306.2","310","-1.96 %","19,304.00"
"RHGCL","2023-02-09","304","314","304","313.5","1.13 %","15,393.00"
"RHGCL","2023-02-12","307.3","307.3","295","302.2","-3.60 %","31,789.00"
"RHGCL","2023-02-14","296.2","318.5","296.2","318","5.23 %","55,503.00"
"RHGCL","2023-02-15","311.7","337","311.7","325","2.20 %","43,382.00"
"RHGCL","2023-02-16","331.5","356.8","321.6","342","5.23 %","76,794.00"
"RHGCL","2023-02-20","348.8","376.2","342","376.2","10.00 %","77,662.00"
"RHGCL","2023-02-22","383.7","406","368.1","395.9","5.24 %","73,373.00"
"RHGCL","2023-02-23","403.8","403.8","362.1","382.5","-3.38 %","26,080.00"
"RHGCL","2023-02-26","374.9","390.1","349","390.1","1.99 %","44,049.00"
"RHGCL","2023-02-27","382.3","382.3","351.1","365","-6.43 %","58,922.00"
"RHGCL","2023-02-28","365","365","349","351","-3.84 %","21,605.00"
"RHGCL","2023-03-01","351","358","341","348.6","-0.68 %","28,192.00"
"RHGCL","2023-03-02","344","367","344","358","2.70 %","37,675.00"
"RHGCL","2023-03-05","359","359","341.4","343.2","-4.13 %","22,495.00"
"RHGCL","2023-03-07","343","350.5","338","340","-0.93 %","7,255.00"
"RHGCL","2023-03-09","346.8","355.8","336.3","350.5","3.09 %","35,269.00"
"RHGCL","2023-03-12","350","364.8","346","346","-1.28 %","20,952.00"
"RHGCL","2023-03-13","342","348.7","336.2","341.5","-1.30 %","14,970.00"
"RHGCL","2023-03-14","336.2","353.2","336.2","342","0.15 %","12,033.00"
"RHGCL","2023-03-15","342","346.8","337.2","342","0.00 %","12,958.00"
"RHGCL","2023-03-16","338","347.9","337","338.3","-1.08 %","10,473.00"
"RHGCL","2023-03-19","336","345","335.2","344","1.68 %","37,457.00"
"RHGCL","2023-03-20","338","347.3","338","347.3","0.96 %","21,798.00"
"RHGCL","2023-03-22","347.3","347.3","334.1","335","-3.54 %","19,138.00"
"RHGCL","2023-03-23","335","337","320","333","-0.60 %","28,747.00"
"RHGCL","2023-03-26","339","339","313","319","-4.20 %","15,825.00"
"RHGCL","2023-03-27","312.9","333","307.3","332","4.08 %","14,232.00"
"RHGCL","2023-03-28","325.6","338.5","320.4","327","-1.51 %","17,780.00"
"RHGCL","2023-03-29","321","330","318","327","0.00 %","9,306.00"
"RHGCL","2023-03-30","320.5","332","310","315.9","-3.39 %","18,365.00"
"RHGCL","2023-04-02","315.9","321.3","305","305.1","-3.42 %","15,789.00"
"RHGCL","2023-04-03","307","317.4","297.1","301.8","-1.08 %","12,220.00"
"RHGCL","2023-04-04","296.1","310","296.1","303","0.40 %","10,155.00"
"RHGCL","2023-04-05","297.5","309","297.2","303","0.00 %","3,646.00"
"RHGCL","2023-04-06","297","306","297","304","0.33 %","10,335.00"
"RHGCL","2023-04-09","298","309","285.1","288.3","-5.16 %","15,305.00"
"RHGCL","2023-04-10","283","296.8","283","292.5","1.46 %","8,452.00"
"RHGCL","2023-04-11","288.1","298.8","285","298.7","2.12 %","7,922.00"
"RHGCL","2023-04-12","298","319.8","298","318","6.46 %","27,509.00"
"RHGCL","2023-04-13","315","318","304","308","-3.14 %","12,740.00"
"RHGCL","2023-04-16","302.2","309","299.6","304","-1.30 %","6,594.00"
"RHGCL","2023-04-17","298","302","292.1","295","-2.96 %","23,220.00"
"RHGCL","2023-04-18","290.1","300","290","293","-0.68 %","10,864.00"
"RHGCL","2023-04-19","290.2","303.9","290.2","302","3.07 %","7,055.00"
"RHGCL","2023-04-20","296.2","302","293.1","295","-2.32 %","1,710.00"
"RHGCL","2023-04-23","290","290.8","285.2","289.9","-1.73 %","6,451.00"
