"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UPPER","2024-01-16","212","232.6","211.5","232.6","9.98 %","303,258.00"
"UPPER","2024-01-14","197.9","213.1","196","211.5","6.87 %","233,902.00"
"UPPER","2024-01-11","197","197.9","193.6","197.9","0.56 %","84,363.00"
"UPPER","2024-01-10","201.9","201.9","195.5","196.8","-0.61 %","72,012.00"
"UPPER","2024-01-09","204","205","197.2","198","-1.00 %","110,148.00"
"UPPER","2024-01-08","202.9","204","198.7","200","-0.94 %","68,569.00"
"UPPER","2024-01-07","203.4","205","200","201.9","1.20 %","95,328.00"
"UPPER","2024-01-04","200","203.5","198","199.5","-0.20 %","94,739.00"
"UPPER","2024-01-03","193","200","193","199.9","2.04 %","50,836.00"
"UPPER","2024-01-02","199.1","202","194.5","195.9","-1.56 %","72,141.00"
"UPPER","2024-01-01","208.5","208.5","196.9","199","-2.69 %","106,482.00"
"UPPER","2023-12-28","212","212","203","204.5","-2.15 %","54,351.00"
"UPPER","2023-12-27","215","218","208","209","-2.34 %","70,808.00"
"UPPER","2023-12-24","218.5","218.5","211","214","-1.79 %","64,646.00"
"UPPER","2023-12-21","225.9","225.9","216.1","217.9","-1.63 %","66,689.00"
"UPPER","2023-12-20","226.3","226.3","215.3","221.5","-0.18 %","96,871.00"
"UPPER","2023-12-19","222.5","225.4","217.7","221.9","0.41 %","59,592.00"
"UPPER","2023-12-18","216","227","216","221","3.03 %","126,634.00"
"UPPER","2023-12-17","205","214.9","199","214.5","4.13 %","96,457.00"
"UPPER","2023-12-14","215","215","206","206","-2.37 %","40,520.00"
"UPPER","2023-12-13","212","215","209","211","-0.47 %","40,464.00"
"UPPER","2023-12-12","210","216","208","212","0.00 %","37,891.00"
"UPPER","2023-12-11","218.2","222.5","205.5","212","-0.93 %","92,991.00"
"UPPER","2023-12-10","198.9","214","197","214","9.74 %","4,086.00"
"UPPER","2023-12-07","196","197","193","195","0.52 %","13,955.00"
"UPPER","2023-12-06","197","197.8","193","194","-1.42 %","19,659.00"
"UPPER","2023-12-05","198","198","195","196.8","0.31 %","11,815.00"
"UPPER","2023-12-04","196","198.8","196","196.2","-0.76 %","11,648.00"
"UPPER","2023-12-03","198.1","199.9","196","197.7","-0.15 %","12,636.00"
"UPPER","2023-11-30","198.1","201","197","198","-1.49 %","16,349.00"
"UPPER","2023-11-29","202.5","204","200","201","-0.74 %","13,245.00"
"UPPER","2023-11-28","200","204","200","202.5","-0.59 %","13,046.00"
"UPPER","2023-11-27","202.9","205","201.1","203.7","2.36 %","30,263.00"
"UPPER","2023-11-26","199","200","197","199","1.43 %","27,614.00"
"UPPER","2023-11-23","195","197","193","196.2","0.62 %","18,340.00"
"UPPER","2023-11-22","196.5","196.5","190","195","1.04 %","12,436.00"
"UPPER","2023-11-21","192.7","198.9","191","193","-1.83 %","28,559.00"
"UPPER","2023-11-20","196","200","195","196.6","1.39 %","26,776.00"
"UPPER","2023-11-09","193.9","196.7","191.2","193.9","0.00 %","22,602.00"
"UPPER","2023-11-08","193.9","195.9","192","193.9","0.00 %","9,598.00"
"UPPER","2023-11-07","195","195","191.5","193.9","0.57 %","16,156.00"
"UPPER","2023-11-06","194.8","195","191","192.8","0.42 %","15,805.00"
"UPPER","2023-11-05","199","199","190","192","-2.14 %","18,566.00"
"UPPER","2023-11-02","199","200","195","196.2","-0.66 %","14,227.00"
"UPPER","2023-11-01","199","201","197","197.5","-0.75 %","18,371.00"
